Group,Team,Points,GF,GA,GD,GroupRank
Group A,South Korea,5,4,3,1,1
Group A,Czech Republic,3,3,3,0,2
Group A,Mexico,3,3,3,0,3
Group A,South Africa,2,3,4,-1,4
Group B,Switzerland,9,6,3,3,1
Group B,Bosnia and Herzegovina,4,4,4,0,2
Group B,Canada,4,4,4,0,3
Group B,Qatar,0,3,6,-3,4
Group C,Brazil,9,6,3,3,1
Group C,Morocco,6,5,4,1,2
Group C,Scotland,3,4,5,-1,3
Group C,Haiti,0,3,6,-3,4
Group D,United States,7,5,3,2,1
Group D,Turkey,5,4,3,1,2
Group D,Australia,2,3,4,-1,3
Group D,Paraguay,1,3,5,-2,4
Group E,Germany,9,6,3,3,1
Group E,Ecuador,4,4,4,0,2
Group E,Ivory Coast,4,4,4,0,3
Group E,Curaçao,0,3,6,-3,4
Group F,Netherlands,7,5,3,2,1
Group F,Japan,4,4,4,0,2
Group F,Sweden,4,4,4,0,3
Group F,Tunisia,1,3,5,-2,4
Group G,Belgium,9,6,3,3,1
Group G,Iran,6,5,4,1,2
Group G,Egypt,3,4,5,-1,3
Group G,New Zealand,0,3,6,-3,4
Group H,Spain,9,7,3,4,1
Group H,Uruguay,6,5,4,1,2
Group H,Saudi Arabia,1,3,5,-2,3
Group H,Cape Verde,1,3,6,-3,4
Group I,France,7,6,3,3,1
Group I,Norway,5,4,3,1,2
Group I,Senegal,4,4,4,0,3
Group I,Iraq,0,3,7,-4,4
Group J,Argentina,7,5,3,2,1
Group J,Algeria,5,4,3,1,2
Group J,Austria,4,4,4,0,3
Group J,Jordan,0,3,6,-3,4
Group K,Portugal,9,7,3,4,1
Group K,Colombia,4,5,5,0,2
Group K,DR Congo,4,5,5,0,3
Group K,Uzbekistan,0,3,7,-4,4
Group L,England,9,6,3,3,1
Group L,Croatia,4,4,4,0,2
Group L,Ghana,4,4,4,0,3
Group L,Panama,0,3,6,-3,4
